Type,CardText
Prompt,"Ah HA! It was Chanakya Pandit, in the temple library, with ______!"
Prompt,All I want for Janmashtami is _______.
Prompt,"Alright, class. Presentations are due this Ekadashi, and don't forget: you get extra seva points for _______!"
Prompt,"Alright, gurukula students. The votes are in, and the new ashram mascot will be ______."
Prompt,"Alright, which one of you brahmacharis has been typing ""______"" into YouTube?"
Prompt,"Alright, which one of you little rascals is responsible for ______?!"
Prompt,"And in the blue corner, weighing in at 280 pounds of pure prasadam weight, it's Bhima ""______"" Das!"
Prompt,"And over here is the BBT's famous painting, ""Portrait of _______."""
Prompt,"And the theme for this year's Ratha Yatra festival is: ""A Night of _____________."""
Prompt,And today's Sunday Feast soup is Cream of _____________.
Prompt,Anyone can do kirtan! Just throw your hands in the air and pretend you're _____________!
Prompt,Scholars now believe that the ancient Kurus worshipped _______.
Prompt,"As your Ayurvedic doctor, I must say this amount of _____________ is abnormal for a bhaktin your age."
Prompt,"At gurukula, I'm just Mandakini. But at Vrindavan yatra, I'm ""______ Mandakini."""
Prompt,"Attention temple gift shop visitors. Unfortunately, we will be closing early due to _____________."
Prompt,Attention devotees! Temple President Prabhu is at home recovering from ______. We hope he'll be back soon.
Prompt,Attention devotees! This is Temple President Prabhu reminding you that we do not allow ______ in the temple room. Thank you.
Prompt,Be out of the bathroom in a sec! Just having trouble with _____________.
Prompt,Beep beep! ______ coming through!
Prompt,"Before I attend your late-night kirtan sleepover, I must inform you: board games bore me, and I don't care for sweets. I prefer _______."
Prompt,"Behold, I have pulled the sword from the stone! I am now the King of _______."
Prompt,"Bow before me, for I am the Queen of ______!"
Prompt,"Bow wow wow! I'm a big smelly temple dog, and I loooooove _____________."
Prompt,Brahmacharis love _____________.
Prompt,Boys? No. ______? Yes!
Prompt,DURYO ANGRY. DURYO DESTROY ______.
Prompt,DURYO FEEL SICK. DURYO NO LIKE ______ ANYMORE.
Prompt,DURYO MAKE MISTAKE. DURYO REALIZE _____________ BAD NOW.
Prompt,Dandavats Daily breaking news! Over half of ISKCON devotees are now _______.
Prompt,Chanting on the first round has evolved into _______!
Prompt,"Class, pay close attention. I will now demonstrate the Bhagavatam's description of ______."
Prompt,Come on guys! Let's go to the basement and play my favorite game: _____________ in the Ashram Basement!
Prompt,"Come on, Damodara. All the cool gurukula kids are doin' it. Wanna try _______?"
Prompt,"Come with me, and I will show you a world of ______."
Prompt,"Coming soon! ""Hanuman vs. ______."""
Prompt,"Coming to temples this Gaura Purnima season, ""Mahabharata: The Rise of ______."""
Prompt,"Darn kids! In my day at the ashram, all we needed to have fun was _____________."
Prompt,"Designers! For this week's challenge, you must make a Deity outfit designed for _____________."
Prompt,Did you hear about the new avatar? She's ______!
Prompt,Did you know that Srila Prabhupada invented ______?
Prompt,"BBT proudly presents ""_______ on Ice."""
Prompt,Do NOT go in the Yamuna. There's _____________ in there.
Prompt,ENOUGH! I will not let ______ tear this ashram apart!
Prompt,"Easy or not, here comes _____________!"
Prompt,Ew. The senior-most devotee in the ashram smells like _______.
Prompt,Foolish child! Did you think you could escape from ______?
Prompt,"Gather round the tulasi lamp, children, and let me tell you the bone-chilling story of _____________."
Prompt,Gopis just wanna have ______.
Prompt,"Prabhus, stop it! There's nothing funny about ______."
Prompt,HAHAHAHA! DURYO HAPPY. DURYO HAVE FUN WITH _____________.
Prompt,Here lies Stinky Damodara Das. He died from _____________.
Prompt,Hey Mayapur! Lookin' for good prasadam and family fun? Come on down to _____________ Govinda's!
Prompt,Hey Mataji? Can you sign this permission slip for _______?
Prompt,"Hey Raghunath, I'll give you five bucks if you try _______."
Prompt,Hey prabhus. I just want to tell all my followers who are struggling with ______: it DOES get better.
Prompt,Hey kids! Are you ready for the best Kartik ever? Welcome to Camp ______!
Prompt,"Hey, check out my band! We're called ""Rage Against ______."""
Prompt,"Hey, kids. I'm Sensei Trivikrama Swami. Today, I'm gonna teach you how to defend yourself against ______."
Prompt,Holy TULASI! Now THAT'S what I call _____________!
Prompt,Holy cow! My video of _____________ has ten million views!
Prompt,"Honey, leave your godbrother alone. He's busy with _____________."
Prompt,"Huddle up, brahmacharis! They may be bigger. They may be faster. But we've got a secret weapon: ______."
Prompt,I am very learned. I am currently reading a 500-page commentary about _______.
Prompt,"I can show you _____________. Shining, shimmering, transcendental."
Prompt,I do not fight for wealth. I do not fight for glory. I fight for _______!
Prompt,"I don't really know what my mataji's seva is, but I think it has something to do with ______."
Prompt,"I finally finished my autobiography. It's called ""My Prabhu: The Story of _____________."""
Prompt,"I have an extremely rare condition called ""_____________ Face."""
Prompt,"I have invented a new sport. I call it ""______ ball."""
Prompt,I lost my arm in a ______ accident.
Prompt,I put a curse on you! And now you're _____________.
Prompt,"I'm not like other gurukula kids. Toys bore me, and I don't care for simply wonderfuls. I prefer ______."
Prompt,"I'm sorry, Gopal, but that's not an acceptable Bhagavatam class presentation. That's just _______."
Prompt,"I'm sorry, Mataji Shanti, but I couldn't finish my shloka memorization because of ______."
Prompt,"If I had a million dollars, I'd spend it all on _____________."
Prompt,"Isn't this great, prabhu? Just you, me, the kids, and _______."
Prompt,Listen! I'm from the next yuga. You've got to stop _____________!
Prompt,It's BIG. It's SCARY. It's _______!
Prompt,"Arjuna will return in ""No Time for _______."""
Prompt,"Govinda, look out behind you! It's ______!"
Prompt,"Kids, Prabhu is trying something new this week. It's called ""______""."
Prompt,"Ladies and gentlemen, I have discovered something amazing. I have discovered ______."
Prompt,Little Miss Mirabai / Sat on a kusha mat / Eating her halava and ______.
Prompt,ME HUNGRY. ME WANT _______.
Prompt,MY NAME DURYO. DURYO LOVE ______.
Prompt,"Lord Indra, we've run out of time. The only option is ________."
Prompt,Hare Krishna. Here I go again. My my! How can I resist _____________?
Prompt,Me and my friends don't play with dolls anymore. We're into ______ now.
Prompt,"Mataji! Mataji! Look at me, Mataji! I'm _____________."
Prompt,Mataji!? You have to come pick me up! There's ______ at this program.
Prompt,"Mataji, there's an asura under my bed and he wants ______."
Prompt,Matajis love ______.
Prompt,"My all-time favorite book is ""The Lion, The Witch, and ______."""
Prompt,My prabhu and I enjoy ______ together.
Prompt,"My favorite book is ""The Amazing Adventures of ______."""
Prompt,"My favorite dinosaur is ""______asaurus."""
Prompt,"My name is Arjuna. I was blessed by Lord Shiva, and now I'm ______."
Prompt,"Never fear, Captain ______ is here!"
Prompt,New from BBT Press! It's DURYO: The Game of ______.
Prompt,"New from the deity department, it's ______ Deity outfit!"
Prompt,New from Govinda's: it's the Govinda's ______ Samosa.
Prompt,Next from Vyasadeva: Bhagavatam and the Chapter of ______.
Prompt,"Next in the festival performance, Gopal will wow us with _____________."
Prompt,"No fair! How come Radha gets her own kartals, and all I get is ______?"
Prompt,"No, Govinda may not come over. He has yet to apologize for ______."
Prompt,Nothing brings a congregation together quite like _____________.
Prompt,Now in bookstores: Narada Muni and the Mystery of ______.
Prompt,Now in toy stores: it's _____________ Hanuman!
Prompt,"Oh Dark Lord, we show our devotion with a humble offering of ______!"
