Type,CardText
Prompt,"Thanks for watching the ashram kids! Just a heads up: Gopika's going through a bit of a ""_____________ "" phase."
Prompt,Attention devotees! This is Temple President Prabhu reminding you that we do not allow ______ in the temple room. Thank you.
Prompt,Dandavats Daily breaking news! Over half of ISKCON devotees are now _______.
Prompt,"I'm sorry, Gopal, but that's not an acceptable Bhagavatam class presentation. That's just _______."
Prompt,"Today, we had a gurukula assembly warning about the dangers of _____________."
Prompt,"And in the blue corner, weighing in at 280 pounds of pure prasadam weight, it's Bhima ""______"" Das!"
Prompt,"Mataji, there's an asura under my bed and he wants ______."
Prompt,"Son, we need to talk. We found _____________ under your asana mat."
Prompt,"Yarrrr! Captain Jatayu, 'tis bad luck to bring _____________ aboard a pushpaka vimana!"
Prompt,"Oh noooooo, the substitute Bhagavatam class speaker is ______!"
Prompt,"This is gonna be the best ashram sleepover ever. Once Mataji and Prabhu go to bed, it's time for ______!"
Prompt,Temple security! Stop this devotee! He's ______!
Prompt,"Alright, which one of you brahmacharis has been typing ""______"" into YouTube?"
Prompt,"Gather round the tulasi lamp, children, and let me tell you the bone-chilling story of _____________."
Prompt,We're not supposed to go in the brahmachari ashram storage room. They keep ______ in there.
Prompt,"Prabhus, stop it! There's nothing funny about ______."
Prompt,"I don't really know what my mataji's seva is, but I think it has something to do with ______."
Prompt,Attention devotees! Temple President Prabhu is at home recovering from ______. We hope he'll be back soon.
Prompt,"Come on, Damodara. All the cool gurukula kids are doin' it. Wanna try _______?"
Prompt,"I'm sorry, Mataji Shanti, but I couldn't finish my shloka memorization because of ______."
Prompt,What's about to take this gurukula dance to the next level?
Prompt,"Young lady, we do not allow ______ at the prasadam table."
Prompt,"At gurukula, I'm just Mandakini. But at Vrindavan yatra, I'm ""______ Mandakini."""
Prompt,Hey Mayapur! Lookin' for good prasadam and family fun? Come on down to _____________ Govinda's!
Prompt,"No fair! How come Radha gets her own kartals, and all I get is ______?"
Prompt,"Prabhu, come quickly! There, in the tulasi garden! Do you see ______? Tell me you see it, Prabhu!"
Prompt,"Put on your tilak, strap on your bead bag, and get ready for ______!"
Prompt,The hills of Govardhan are alive with the sound of _____________!
Prompt,"Whoa there, partner! Looks like _______ spooked Arjuna's horses."
Prompt,"And the theme for this year's Ratha Yatra festival is: ""A Night of _____________."""
